epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0477,2.84963,3.16946,0.73488,4.88795,2.30466,0.00239,0.00619,0.00136,0.00047,0.00071,0.09826,0.00053,0.00012,3.02058,2.45327,0.69588,4.89722,2.4164,3.845e-05,3.845e-05,3.845e-05
2,91.4681,2.37004,3.45725,0.72139,4.16994,1.97214,0.67717,0.06525,0.07698,0.02955,0.68015,0.05529,0.04829,0.01118,2.53514,2.41336,0.69631,3.96025,2.05615,6.78412e-05,6.78412e-05,6.78412e-05
3,137.263,1.95309,3.27354,0.70761,2.95001,1.64912,0.58568,0.22082,0.15244,0.08862,0.54369,0.10837,0.09575,0.02521,2.30033,2.37666,0.69741,4.06208,1.80723,7.89609e-05,7.89609e-05,7.89609e-05
4,182.805,1.68428,2.83557,0.68448,2.40529,1.45,0.4761,0.31563,0.22408,0.1318,0.3629,0.11491,0.10851,0.03254,1.99519,2.33732,0.69522,4.76626,1.62333,7.18092e-05,7.18092e-05,7.18092e-05
5,228.461,1.44286,2.30065,0.66049,2.02599,1.34774,0.47161,0.31055,0.3071,0.18501,0.34334,0.2109,0.19828,0.05843,1.71166,2.29333,0.69145,3.24454,1.4477,4.63861e-05,4.63861e-05,4.63861e-05
