epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1455,2.6794,0,0.55109,4.06363,1.85682,0.01762,0.12121,0.01634,0.00436,0,0,0,0,3.34229,0,0.66539,3.95766,1.95318,4e-05,4e-05,4e-05
2,39.102,1.84492,0,0.49992,2.30135,1.413,0.10344,0.30303,0.06064,0.01992,0,0,0,0,2.43402,0,0.6602,2.94505,1.48885,9.835e-05,9.835e-05,9.835e-05
3,58.4307,1.13735,0,0.34194,1.21155,1.01897,0.30304,0.25758,0.21851,0.1204,0,0,0,0,1.62477,0,0.64596,2.88952,1.18027,0.00015472,0.00015472,0.00015472
4,77.2837,0.89165,0,0.14387,0.77809,0.89522,0.31473,0.25758,0.23992,0.16468,0,0,0,0,1.28153,0,0.61758,3.38188,1.05923,0.00020911,0.00020911,0.00020911
5,96.0807,0.74843,0,0.04881,0.62534,0.84428,0.58729,0.43939,0.50214,0.37205,0,0,0,0,1.06495,0,0.53634,1.7131,0.97681,0.00026152,0.00026152,0.00026152
6,114.976,0.7063,0,0.03056,0.55731,0.84718,0.52579,0.56061,0.5634,0.45716,0,0,0,0,0.81243,0,0.46201,2.59522,0.8935,0.00031195,0.00031195,0.00031195
7,134.196,0.73164,0,0.02042,0.52526,0.83399,0.38114,0.78788,0.66582,0.53705,0,0,0,0,0.81744,0,0.31481,5.82927,0.84266,0.0003604,0.0003604,0.0003604
8,153.387,0.75188,0,0.01453,0.54006,0.82447,0.41364,0.84848,0.79233,0.65065,0,0,0,0,0.76407,0,0.25354,5.4534,0.84803,0.00040687,0.00040687,0.00040687
9,172.36,0.69419,0,0.01149,0.55964,0.83531,0.0596,0.77273,0.05561,0.0438,0,0,0,0,0.84013,0,0.19904,39.397,0.85886,0.00045136,0.00045136,0.00045136
10,191.239,0.6898,0,0.00892,0.57417,0.82381,0.05995,0.75758,0.05248,0.04146,0,0,0,0,0.78351,0,0.18854,29.0373,0.84932,0.00049387,0.00049387,0.00049387
11,210.086,0.66721,0,0.00683,0.55779,0.84189,0.45849,0.87879,0.68025,0.53889,0,0,0,0,0.75924,0,0.13904,2.57273,0.87303,0.0005344,0.0005344,0.0005344
12,229.071,0.72117,0,0.00625,0.54679,0.83391,0.79814,0.89865,0.90339,0.67097,0,0,0,0,0.93409,0,0.11427,1.88834,0.90741,0.00057295,0.00057295,0.00057295
13,248.081,0.72467,0,0.00554,0.53713,0.83149,0.82728,0.92424,0.94227,0.73145,0,0,0,0,0.8047,0,0.05933,1.35932,0.85343,0.00060952,0.00060952,0.00060952
14,266.925,0.69977,0,0.00543,0.50688,0.84045,0.78484,0.92424,0.93178,0.7048,0,0,0,0,0.84899,0,0.05947,1.45084,0.8555,0.00064411,0.00064411,0.00064411
15,285.767,0.69701,0,0.0027,0.49939,0.82695,0.82796,0.87879,0.89677,0.71579,0,0,0,0,0.77487,0,0.07317,1.04668,0.85366,0.00067672,0.00067672,0.00067672
16,304.397,0.64073,0,0.00253,0.4839,0.81235,0.87419,0.86364,0.91226,0.72452,0,0,0,0,0.74016,0,0.07461,1.09923,0.83788,0.00070735,0.00070735,0.00070735
17,323.14,0.58258,0,0.00266,0.47406,0.82385,0.90628,0.87906,0.92421,0.70387,0,0,0,0,0.80994,0,0.08266,1.07956,0.83281,0.000736,0.000736,0.000736
18,341.999,0.63144,0,0.00206,0.47013,0.82148,0.93683,0.89879,0.93013,0.74106,0,0,0,0,0.76882,0,0.06352,1.03362,0.8066,0.00076267,0.00076267,0.00076267
19,360.867,0.63718,0,0.00197,0.47652,0.83059,0.95839,0.92424,0.94297,0.78632,0,0,0,0,0.68229,0,0.04861,0.84682,0.79733,0.00078736,0.00078736,0.00078736
20,379.967,0.6588,0,0.00238,0.45693,0.82527,0.93771,0.93939,0.94422,0.79836,0,0,0,0,0.67107,0,0.0439,0.73213,0.79568,0.00081007,0.00081007,0.00081007
21,398.698,0.60482,0,0.00198,0.45334,0.81603,0.94768,0.93939,0.95126,0.81926,0,0,0,0,0.62987,0,0.03711,0.67671,0.78831,0.0008308,0.0008308,0.0008308
22,417.043,0.61097,0,0.00345,0.43965,0.82164,0.96838,0.92802,0.95937,0.81884,0,0,0,0,0.64418,0,0.03233,0.61341,0.79281,0.00084955,0.00084955,0.00084955
23,435.41,0.61138,0,0.00199,0.43523,0.81448,0.9838,0.92011,0.97346,0.81342,0,0,0,0,0.6713,0,0.02257,0.5713,0.79931,0.00086632,0.00086632,0.00086632
24,453.688,0.58601,0,0.00191,0.44008,0.81326,0.96753,0.92424,0.97197,0.80532,0,0,0,0,0.6515,0,0.01764,0.53602,0.7932,0.00088111,0.00088111,0.00088111
25,472.028,0.58517,0,0.0015,0.43517,0.80595,0.95064,0.92424,0.9529,0.81908,0,0,0,0,0.60263,0,0.01228,0.51927,0.78139,0.00089392,0.00089392,0.00089392
26,490.434,0.63762,0,0.00202,0.43429,0.81588,0.96244,0.92424,0.95426,0.82366,0,0,0,0,0.58774,0,0.01235,0.49651,0.78432,0.00090475,0.00090475,0.00090475
27,509.133,0.59437,0,0.00131,0.41837,0.82245,0.97976,0.87879,0.94838,0.80074,0,0,0,0,0.63735,0,0.01747,0.5191,0.78652,0.0009136,0.0009136,0.0009136
28,527.664,0.60314,0,0.00144,0.48088,0.80544,0.97524,0.87879,0.9381,0.8054,0,0,0,0,0.58169,0,0.0185,0.51653,0.7796,0.00092047,0.00092047,0.00092047
29,545.984,0.56308,0,0.00182,0.40435,0.8243,0.97524,0.87879,0.9381,0.8054,0,0,0,0,0.58169,0,0.0185,0.51653,0.7796,0.00092536,0.00092536,0.00092536
30,564.272,0.54379,0,0.00148,0.38775,0.8009,0.93245,0.87879,0.9325,0.82334,0,0,0,0,0.5197,0,0.01435,0.55216,0.77689,0.00092827,0.00092827,0.00092827
31,582.621,0.53105,0,0.00104,0.38808,0.80232,0.93651,0.90909,0.94633,0.84583,0,0,0,0,0.48897,0,0.01017,0.61936,0.77453,0.0009292,0.0009292,0.0009292
32,601.394,0.52123,0,0.00051,0.41461,0.79647,0.95655,0.90909,0.9636,0.81934,0,0,0,0,0.5968,0,0.00921,0.58215,0.78714,0.00092815,0.00092815,0.00092815
33,619.633,0.5681,0,0.00115,0.40661,0.80379,0.95655,0.90909,0.9636,0.81934,0,0,0,0,0.5968,0,0.00921,0.58215,0.78714,0.00092512,0.00092512,0.00092512
34,637.801,0.57106,0,0.00193,0.40939,0.80695,0.96853,0.89394,0.96167,0.82944,0,0,0,0,0.55146,0,0.00669,0.54958,0.78457,0.000911,0.000911,0.000911
35,656.136,0.55149,0,0.00102,0.40029,0.78535,0.9835,0.90309,0.96262,0.82062,0,0,0,0,0.58303,0,0.0036,0.54825,0.78395,0.000878,0.000878,0.000878
36,674.617,0.52125,0,0.0007,0.37373,0.79416,0.98138,0.90909,0.95881,0.82862,0,0,0,0,0.51752,0,0.00298,0.51613,0.77831,0.000845,0.000845,0.000845
37,692.831,0.51501,0,0.00168,0.38854,0.79962,0.98138,0.90909,0.95881,0.82862,0,0,0,0,0.51752,0,0.00298,0.51613,0.77831,0.000812,0.000812,0.000812
38,711.06,0.50683,0,0.00081,0.36509,0.7962,0.97216,0.90909,0.95863,0.83453,0,0,0,0,0.50956,0,0.00326,0.5286,0.77779,0.000779,0.000779,0.000779
39,729.343,0.46917,0,0.00067,0.35147,0.79446,0.9708,0.92424,0.95925,0.83049,0,0,0,0,0.53143,0,0.00436,0.53628,0.77901,0.000746,0.000746,0.000746
40,747.641,0.50113,0,0.00047,0.374,0.80049,0.98294,0.93939,0.96163,0.86776,0,0,0,0,0.47598,0,0.00339,0.48377,0.77447,0.000713,0.000713,0.000713
41,765.98,0.50515,0,0.00071,0.37336,0.7971,0.98294,0.93939,0.96163,0.86776,0,0,0,0,0.47598,0,0.00339,0.48377,0.77447,0.00068,0.00068,0.00068
42,784.27,0.47634,0,0.00044,0.36364,0.80331,0.9631,0.95455,0.96623,0.87306,0,0,0,0,0.46319,0,0.00374,0.43412,0.77178,0.000647,0.000647,0.000647
43,802.957,0.46612,0,0.00075,0.35781,0.8049,0.98264,0.95455,0.97047,0.83708,0,0,0,0,0.49806,0,0.00267,0.39676,0.77196,0.000614,0.000614,0.000614
44,821.93,0.51589,0,0.00086,0.37044,0.81584,0.98283,0.95455,0.97453,0.85803,0,0,0,0,0.46434,0,0.00199,0.37147,0.76823,0.000581,0.000581,0.000581
