epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9537,2.6794,0,0.55109,4.06363,1.85682,0.01762,0.12121,0.01634,0.00436,0,0,0,0,3.34229,0,0.66539,3.95766,1.95318,4e-05,4e-05,4e-05
2,38.5985,1.84439,0,0.49991,2.30097,1.41265,0.10739,0.31818,0.06112,0.02006,0,0,0,0,2.42965,0,0.66017,2.94661,1.487,9.87625e-05,9.87625e-05,9.87625e-05
3,57.3607,1.1359,0,0.3409,1.20845,1.01854,0.3066,0.25758,0.22213,0.12127,0,0,0,0,1.58808,0,0.64531,2.9149,1.16708,0.00015604,0.00015604,0.00015604
4,76.3107,0.8882,0,0.14131,0.78253,0.89396,0.42814,0.19697,0.26383,0.17614,0,0,0,0,1.31488,0,0.61712,3.20823,1.08548,0.000211833,0.000211833,0.000211833
5,94.7868,0.74141,0,0.04782,0.64833,0.84256,0.55186,0.39394,0.45923,0.33065,0,0,0,0,1.08923,0,0.54507,1.92105,0.986,0.00026614,0.00026614,0.00026614
6,113.274,0.72168,0,0.02931,0.57181,0.84698,0.56339,0.5303,0.56339,0.4445,0,0,0,0,0.83564,0,0.46719,2.14913,0.90562,0.000318963,0.000318963,0.000318963
7,132.032,0.76067,0,0.02066,0.55426,0.83856,0.38365,0.78788,0.71776,0.55345,0,0,0,0,0.88348,0,0.30366,5.20371,0.86795,0.0003703,0.0003703,0.0003703
8,150.27,0.79458,0,0.01452,0.55711,0.83032,0.46368,0.81221,0.82224,0.66058,0,0,0,0,0.83273,0,0.23644,3.95553,0.8552,0.000420152,0.000420152,0.000420152
9,169.033,0.73028,0,0.01287,0.54199,0.84121,0.67093,0.87879,0.8919,0.70732,0,0,0,0,0.77636,0,0.17253,2.06781,0.8337,0.00046852,0.00046852,0.00046852
10,187.397,0.69295,0,0.00854,0.5801,0.82389,0.32204,0.92424,0.48345,0.38233,0,0,0,0,0.81349,0,0.1403,3.72744,0.8429,0.000515403,0.000515403,0.000515403
11,206.06,0.69085,0,0.00947,0.58987,0.83925,0.82708,0.89394,0.90872,0.74678,0,0,0,0,0.73368,0,0.10202,1.16476,0.85302,0.0005608,0.0005608,0.0005608
12,224.544,0.73191,0,0.00693,0.59789,0.82981,0.86693,0.87879,0.90483,0.70504,0,0,0,0,0.84672,0,0.09163,1.26439,0.85228,0.000604713,0.000604713,0.000604713
13,243.066,0.65398,0,0.00637,0.51616,0.81733,0.76983,0.89394,0.89149,0.70456,0,0,0,0,0.78441,0,0.07097,1.45573,0.82631,0.00064714,0.00064714,0.00064714
14,261.459,0.64885,0,0.00605,0.51552,0.83146,0.74523,0.86364,0.89989,0.69878,0,0,0,0,0.80593,0,0.07376,1.19856,0.82886,0.000688083,0.000688083,0.000688083
15,280.101,0.68293,0,0.00322,0.50776,0.82841,0.87884,0.87924,0.92744,0.80146,0,0,0,0,0.66698,0,0.06114,0.8951,0.80691,0.00072754,0.00072754,0.00072754
16,298.383,0.65375,0,0.00278,0.47291,0.81078,0.90046,0.87879,0.93217,0.78706,0,0,0,0,0.68236,0,0.05901,0.94705,0.80653,0.000765512,0.000765512,0.000765512
17,316.978,0.56424,0,0.003,0.46058,0.81789,0.71693,0.83333,0.84475,0.7078,0,0,0,0,0.71412,0,0.08126,1.44182,0.81465,0.000802,0.000802,0.000802
18,335.522,0.62707,0,0.00276,0.48238,0.81733,0.73301,0.79039,0.838,0.69359,0,0,0,0,0.71186,0,0.08024,1.35796,0.80918,0.000837003,0.000837003,0.000837003
19,353.978,0.61433,0,0.00253,0.48717,0.83033,0.86361,0.81818,0.87514,0.72876,0,0,0,0,0.70691,0,0.09255,0.92606,0.80896,0.00087052,0.00087052,0.00087052
20,372.341,0.64575,0,0.0032,0.46498,0.82609,0.9292,0.79543,0.87661,0.6844,0,0,0,0,0.7536,0,0.11673,0.76577,0.83305,0.000902552,0.000902552,0.000902552
21,390.783,0.66614,0,0.00241,0.49544,0.82404,0.91331,0.77273,0.84378,0.68899,0,0,0,0,0.70143,0,0.13113,0.76765,0.8243,0.0009331,0.0009331,0.0009331
22,409.385,0.67271,0,0.00264,0.47446,0.83331,0.93039,0.81011,0.8617,0.71196,0,0,0,0,0.66994,0,0.13052,0.68338,0.82221,0.000962162,0.000962162,0.000962162
23,427.813,0.67782,0,0.00179,0.4577,0.82145,0.98044,0.81818,0.88103,0.71653,0,0,0,0,0.7489,0,0.11405,0.5947,0.83778,0.00098974,0.00098974,0.00098974
