epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7741,2.6794,0,0.55109,4.06363,1.85682,0.01762,0.12121,0.01634,0.00436,0,0,0,0,3.34229,0,0.66539,3.95766,1.95318,4e-05,4e-05,4e-05
2,38.2164,1.84501,0,0.50005,2.30163,1.41323,0.10406,0.30303,0.06001,0.01995,0,0,0,0,2.43633,0,0.66027,2.94675,1.49036,9.802e-05,9.802e-05,9.802e-05
3,56.9094,1.13693,0,0.3428,1.21134,1.01918,0.25838,0.28788,0.22587,0.11797,0,0,0,0,1.63828,0,0.64607,2.89544,1.18258,0.000153664,0.000153664,0.000153664
4,75.2474,0.89045,0,0.14358,0.77622,0.89406,0.35479,0.27498,0.29764,0.18766,0,0,0,0,1.31557,0,0.61871,3.05699,1.05027,0.000206932,0.000206932,0.000206932
5,93.743,0.73985,0,0.04952,0.63926,0.84477,0.42334,0.60068,0.46534,0.32233,0,0,0,0,1.11892,0,0.54543,1.95425,0.97529,0.000257824,0.000257824,0.000257824
6,112.073,0.71431,0,0.0301,0.57141,0.85024,0.7033,0.62121,0.66709,0.54071,0,0,0,0,0.82049,0,0.46706,1.3627,0.91933,0.00030634,0.00030634,0.00030634
7,130.697,0.73342,0,0.02049,0.54832,0.83683,0.82192,0.78788,0.82775,0.63963,0,0,0,0,0.83456,0,0.32555,1.45975,0.83902,0.00035248,0.00035248,0.00035248
8,149.089,0.80179,0,0.01581,0.58381,0.83545,0.73254,0.86364,0.86269,0.69089,0,0,0,0,0.76367,0,0.25466,2.19428,0.82942,0.000396244,0.000396244,0.000396244
9,167.459,0.70256,0,0.01148,0.54919,0.84264,0.70961,0.87879,0.88417,0.6833,0,0,0,0,0.84173,0,0.18572,2.06502,0.85655,0.000437632,0.000437632,0.000437632
10,185.717,0.67216,0,0.00812,0.56262,0.81964,0.69349,0.90909,0.9046,0.72986,0,0,0,0,0.79935,0,0.14379,1.72547,0.8654,0.000476644,0.000476644,0.000476644
