epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7342,2.6794,0,0.55109,4.06363,1.85682,0.01762,0.12121,0.01634,0.00436,0,0,0,0,3.34229,0,0.66539,3.95766,1.95318,4e-05,4e-05,4e-05
2,38.1835,1.84449,0,0.49995,2.30108,1.41271,0.10816,0.31818,0.06089,0.02007,0,0,0,0,2.43096,0,0.66018,2.94618,1.48768,9.868e-05,9.868e-05,9.868e-05
3,56.8232,1.13625,0,0.34112,1.20882,1.01847,0.28886,0.25758,0.22128,0.12257,0,0,0,0,1.5856,0,0.64551,2.89479,1.16944,0.000155776,0.000155776,0.000155776
4,75.3572,0.8868,0,0.14145,0.77909,0.89443,0.25426,0.31818,0.27327,0.188,0,0,0,0,1.26319,0,0.61392,3.02622,1.03601,0.000211288,0.000211288,0.000211288
5,93.8048,0.74475,0,0.04834,0.64296,0.84262,0.51688,0.48485,0.51171,0.37067,0,0,0,0,1.10113,0,0.53423,1.83519,0.98201,0.000265216,0.000265216,0.000265216
6,112.325,0.71499,0,0.02998,0.56698,0.84855,0.47022,0.5,0.49025,0.38973,0,0,0,0,0.83218,0,0.47611,2.83489,0.91619,0.00031756,0.00031756,0.00031756
7,130.963,0.74196,0,0.02048,0.54337,0.83642,0.40917,0.77273,0.73487,0.58472,0,0,0,0,0.83237,0,0.31022,4.88476,0.8693,0.00036832,0.00036832,0.00036832
8,149.438,0.75958,0,0.01484,0.54331,0.82667,0.49334,0.84848,0.83894,0.67515,0,0,0,0,0.78595,0,0.24195,3.78592,0.86432,0.000417496,0.000417496,0.000417496
9,168.264,0.71151,0,0.01082,0.53892,0.83843,0.48254,0.87879,0.51394,0.39457,0,0,0,0,0.77903,0,0.18866,2.89156,0.84138,0.000465088,0.000465088,0.000465088
10,186.788,0.69099,0,0.00816,0.57767,0.82255,0.86052,0.89394,0.91149,0.73034,0,0,0,0,0.7778,0,0.14491,1.70075,0.83818,0.000511096,0.000511096,0.000511096
11,205.328,0.66458,0,0.00697,0.55264,0.83546,0.76327,0.92821,0.91572,0.73526,0,0,0,0,0.74133,0,0.09474,1.4716,0.85023,0.00055552,0.00055552,0.00055552
12,223.981,0.73985,0,0.00607,0.55151,0.83081,0.5653,0.90909,0.84257,0.6415,0,0,0,0,0.87957,0,0.08391,2.2761,0.86056,0.00059836,0.00059836,0.00059836
13,242.631,0.66582,0,0.00539,0.51286,0.81871,0.08647,0.78788,0.08252,0.06473,0,0,0,0,0.7837,0,0.04856,30.5648,0.83974,0.000639616,0.000639616,0.000639616
14,260.961,0.6992,0,0.00703,0.52787,0.83401,0.18604,0.92424,0.21834,0.16649,0,0,0,0,0.82043,0,0.05206,9.33254,0.8458,0.000679288,0.000679288,0.000679288
15,279.408,0.73007,0,0.00323,0.52758,0.83328,0.87281,0.92424,0.93431,0.75353,0,0,0,0,0.77378,0,0.03509,1.11106,0.83936,0.000717376,0.000717376,0.000717376
16,297.884,0.72787,0,0.00301,0.53208,0.81903,0.83017,0.92424,0.93524,0.76849,0,0,0,0,0.7016,0,0.02599,1.35923,0.82463,0.00075388,0.00075388,0.00075388
17,316.53,0.64699,0,0.00339,0.5101,0.82435,0.67645,0.87879,0.87038,0.68059,0,0,0,0,0.91019,0,0.04762,2.22601,0.83798,0.0007888,0.0007888,0.0007888
18,335.081,0.72814,0,0.00278,0.51801,0.83159,0.61228,0.87879,0.74254,0.59971,0,0,0,0,0.83911,0,0.05424,2.63964,0.82076,0.000822136,0.000822136,0.000822136
19,353.477,0.64344,0,0.00323,0.50652,0.82893,0.70258,0.89394,0.84464,0.71283,0,0,0,0,0.67845,0,0.04561,1.68389,0.80199,0.000853888,0.000853888,0.000853888
20,371.827,0.72313,0,0.00323,0.50347,0.83126,0.63041,0.87879,0.77538,0.65269,0,0,0,0,0.65612,0,0.04611,1.89008,0.80567,0.000884056,0.000884056,0.000884056
21,390.356,0.60008,0,0.00245,0.477,0.81917,0.80247,0.86364,0.88343,0.7021,0,0,0,0,0.75634,0,0.03562,1.48283,0.8214,0.00091264,0.00091264,0.00091264
22,408.77,0.71205,0,0.00381,0.48488,0.8391,0.7203,0.87879,0.84324,0.68187,0,0,0,0,0.73574,0,0.02437,1.6772,0.82446,0.00093964,0.00093964,0.00093964
23,427.183,0.66926,0,0.00149,0.48396,0.82275,0.60013,0.86364,0.69623,0.57758,0,0,0,0,0.6667,0,0.0176,1.66905,0.82108,0.000965056,0.000965056,0.000965056
24,445.57,0.65022,0,0.00231,0.49439,0.82749,0.92958,0.92424,0.96481,0.80201,0,0,0,0,0.65949,0,0.0114,0.77925,0.81296,0.000988888,0.000988888,0.000988888
25,464.07,0.63665,0,0.00151,0.467,0.80868,0.91271,0.95065,0.97897,0.8077,0,0,0,0,0.6679,0,0.00931,0.69758,0.80412,0.00101114,0.00101114,0.00101114
26,482.557,0.66349,0,0.00228,0.46281,0.81798,0.95984,0.90909,0.96865,0.8016,0,0,0,0,0.67775,0,0.00746,0.66293,0.80408,0.0010318,0.0010318,0.0010318
27,501.117,0.66315,0,0.00165,0.47248,0.83097,0.9503,0.86912,0.95008,0.80268,0,0,0,0,0.64078,0,0.00775,0.66366,0.80003,0.00105088,0.00105088,0.00105088
28,519.481,0.60757,0,0.00084,0.49705,0.80273,0.94451,0.89394,0.94276,0.79006,0,0,0,0,0.67115,0,0.00934,0.61753,0.80908,0.00106838,0.00106838,0.00106838
29,537.888,0.60863,0,0.00179,0.48634,0.82376,0.94451,0.89394,0.94276,0.79006,0,0,0,0,0.67115,0,0.00934,0.61753,0.80908,0.00108429,0.00108429,0.00108429
30,556.055,0.57478,0,0.00118,0.44626,0.8024,0.96734,0.89744,0.95011,0.80607,0,0,0,0,0.61909,0,0.00677,0.61338,0.79948,0.00109862,0.00109862,0.00109862
31,574.402,0.54533,0,0.00102,0.42478,0.804,0.98332,0.89312,0.95195,0.81283,0,0,0,0,0.60268,0,0.00554,0.68877,0.79978,0.00111136,0.00111136,0.00111136
32,592.96,0.59949,0,0.00067,0.43764,0.79983,0.96321,0.92424,0.95505,0.80119,0,0,0,0,0.57609,0,0.00372,0.769,0.79174,0.00112252,0.00112252,0.00112252
33,611.247,0.59664,0,0.00115,0.45069,0.80463,0.96321,0.92424,0.95505,0.80119,0,0,0,0,0.57609,0,0.00372,0.769,0.79174,0.0011321,0.0011321,0.0011321
34,629.461,0.58986,0,0.002,0.47097,0.81195,0.96841,0.92424,0.96955,0.80755,0,0,0,0,0.58376,0,0.00334,0.75506,0.78382,0.0011288,0.0011288,0.0011288
35,647.868,0.56052,0,0.00115,0.42377,0.78954,0.95259,0.92424,0.9743,0.83234,0,0,0,0,0.56003,0,0.00268,0.74784,0.78494,0.0011024,0.0011024,0.0011024
36,666.48,0.54143,0,0.00082,0.39976,0.79922,0.97458,0.93939,0.97667,0.84221,0,0,0,0,0.51291,0,0.00332,0.76477,0.78099,0.001076,0.001076,0.001076
37,684.896,0.56932,0,0.00138,0.41491,0.80738,0.97458,0.93939,0.97667,0.84221,0,0,0,0,0.51291,0,0.00332,0.76477,0.78099,0.0010496,0.0010496,0.0010496
38,703.415,0.57074,0,0.00059,0.41187,0.80548,0.97268,0.93939,0.97697,0.81374,0,0,0,0,0.55991,0,0.00327,0.85504,0.78304,0.0010232,0.0010232,0.0010232
39,721.659,0.553,0,0.00059,0.40152,0.80323,0.96235,0.93939,0.9784,0.82566,0,0,0,0,0.59139,0,0.00209,0.79114,0.7822,0.0009968,0.0009968,0.0009968
40,740.194,0.52909,0,0.00043,0.39839,0.80387,0.96588,0.93939,0.98317,0.83837,0,0,0,0,0.54133,0,0.00135,0.6171,0.7756,0.0009704,0.0009704,0.0009704
