epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5508,2.67911,0,0.6395,4.06363,1.8566,0.01778,0.12121,0.01645,0.00425,0,0,0,0,3.34453,0,0.72005,3.95595,1.95503,4e-05,4e-05,4e-05
2,39.279,1.84281,0,0.59513,2.29923,1.41233,0.10545,0.31818,0.0622,0.01996,0,0,0,0,2.43495,0,0.71527,2.945,1.49198,9.89e-05,9.89e-05,9.89e-05
3,57.9299,1.13592,0,0.45734,1.20702,1.02032,0.34565,0.24015,0.2452,0.13753,0,0,0,0,1.555,0,0.70331,2.73641,1.15632,0.00015648,0.00015648,0.00015648
4,76.4585,0.88136,0,0.24047,0.79236,0.89657,0.29003,0.34848,0.28182,0.19279,0,0,0,0,1.25358,0,0.68448,2.76212,1.03661,0.00021274,0.00021274,0.00021274
5,94.8935,0.74327,0,0.09872,0.64026,0.84543,0.73292,0.54058,0.56672,0.40737,0,0,0,0,1.00306,0,0.62048,1.35287,0.96537,0.00026768,0.00026768,0.00026768
6,113.315,0.70481,0,0.0581,0.56143,0.84777,0.68341,0.62143,0.61389,0.49639,0,0,0,0,0.76329,0,0.55239,1.33598,0.88209,0.0003213,0.0003213,0.0003213
7,131.658,0.74254,0,0.0398,0.5464,0.83359,0.87632,0.75153,0.81943,0.64876,0,0,0,0,0.82953,0,0.38574,1.40793,0.86596,0.0003736,0.0003736,0.0003736
8,149.715,0.74637,0,0.02969,0.53173,0.82897,0.7764,0.80303,0.86157,0.71234,0,0,0,0,0.71836,0,0.3098,1.55583,0.84221,0.00042458,0.00042458,0.00042458
9,168.183,0.7202,0,0.02525,0.54071,0.84313,0.81592,0.89394,0.90411,0.70083,0,0,0,0,0.84411,0,0.2269,1.3959,0.86282,0.00047424,0.00047424,0.00047424
10,186.068,0.67926,0,0.02012,0.55069,0.82515,0.87327,0.90909,0.9269,0.7457,0,0,0,0,0.77873,0,0.18308,1.12975,0.85178,0.00052258,0.00052258,0.00052258
11,204.527,0.66227,0,0.01629,0.55583,0.84213,0.91038,0.89394,0.91982,0.74395,0,0,0,0,0.75686,0,0.12962,1.32319,0.84487,0.0005696,0.0005696,0.0005696
