epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0594,2.6794,0,0.55109,4.06363,1.85682,0.01762,0.12121,0.01634,0.00436,0,0,0,0,3.34229,0,0.66539,3.95766,1.95318,4e-05,4e-05,4e-05
2,38.8346,1.84418,0,0.49982,2.30081,1.41248,0.10697,0.31818,0.0613,0.01998,0,0,0,0,2.42955,0,0.66012,2.94634,1.48708,9.901e-05,9.901e-05,9.901e-05
3,57.5869,1.13843,0,0.33991,1.20726,1.01923,0.33152,0.22727,0.22937,0.12957,0,0,0,0,1.55805,0,0.64476,2.807,1.15415,0.000156832,0.000156832,0.000156832
4,76.1789,0.89178,0,0.14056,0.7827,0.89485,0.28523,0.24242,0.24841,0.17185,0,0,0,0,1.24881,0,0.61607,3.50377,1.04909,0.000213466,0.000213466,0.000213466
5,94.7478,0.74488,0,0.04733,0.6488,0.84477,0.56879,0.41977,0.49366,0.3662,0,0,0,0,1.0575,0,0.54083,1.77492,0.97425,0.000268912,0.000268912,0.000268912
6,113.252,0.70732,0,0.02967,0.5665,0.84676,0.54302,0.5,0.48842,0.37819,0,0,0,0,0.82271,0,0.49201,2.5228,0.89107,0.00032317,0.00032317,0.00032317
7,132.176,0.7312,0,0.01984,0.54567,0.83548,0.65162,0.74242,0.76934,0.62089,0,0,0,0,0.78574,0,0.35482,2.48804,0.85295,0.00037624,0.00037624,0.00037624
8,150.663,0.7258,0,0.01274,0.56962,0.82739,0.35833,0.81818,0.72311,0.61096,0,0,0,0,0.72355,0,0.27134,4.16271,0.83321,0.000428122,0.000428122,0.000428122
9,169.363,0.70769,0,0.0099,0.53444,0.83725,0.12074,0.84848,0.14974,0.11409,0,0,0,0,0.82973,0,0.18379,11.5198,0.82821,0.000478816,0.000478816,0.000478816
10,187.887,0.68363,0,0.00854,0.52607,0.82025,0.21184,0.87879,0.26535,0.21235,0,0,0,0,0.75906,0,0.15577,5.98684,0.83,0.000528322,0.000528322,0.000528322
11,206.366,0.67931,0,0.00679,0.57499,0.84178,0.35296,0.90909,0.87835,0.69137,0,0,0,0,0.82279,0,0.09507,2.49043,0.86818,0.00057664,0.00057664,0.00057664
12,224.902,0.73195,0,0.00618,0.53648,0.83185,0.85397,0.90909,0.92534,0.67557,0,0,0,0,0.9428,0,0.07111,2.04442,0.86213,0.00062377,0.00062377,0.00062377
13,243.577,0.72786,0,0.00739,0.5412,0.83155,0.79492,0.92424,0.91545,0.72786,0,0,0,0,0.80007,0,0.04118,1.52888,0.84349,0.000669712,0.000669712,0.000669712
14,262.218,0.68305,0,0.01006,0.51941,0.84046,0.7995,0.90628,0.92536,0.7306,0,0,0,0,0.80908,0,0.04233,1.30607,0.84246,0.000714466,0.000714466,0.000714466
15,280.889,0.7619,0,0.00315,0.52402,0.83435,0.79154,0.80545,0.87128,0.69601,0,0,0,0,0.81182,0,0.08783,1.3353,0.83868,0.000758032,0.000758032,0.000758032
16,299.252,0.72648,0,0.00231,0.51098,0.82255,0.90373,0.87879,0.9114,0.69143,0,0,0,0,0.79784,0,0.07627,1.19618,0.84076,0.00080041,0.00080041,0.00080041
17,318.058,0.71261,0,0.00277,0.50334,0.84107,0.80743,0.78788,0.81299,0.63146,0,0,0,0,0.81646,0,0.10328,1.84475,0.84195,0.0008416,0.0008416,0.0008416
18,336.981,0.69747,0,0.00274,0.51856,0.83129,0.8062,0.65152,0.71369,0.57452,0,0,0,0,0.81783,0,0.17014,1.61295,0.85631,0.000881602,0.000881602,0.000881602
19,355.326,0.65682,0,0.00227,0.50738,0.83986,0.82714,0.65251,0.70515,0.57145,0,0,0,0,0.82054,0,0.17385,1.30154,0.86749,0.000920416,0.000920416,0.000920416
20,373.615,0.67795,0,0.00379,0.48659,0.83497,0.86133,0.65152,0.74661,0.58531,0,0,0,0,0.85278,0,0.17627,1.04527,0.87399,0.000958042,0.000958042,0.000958042
21,392.035,0.67182,0,0.0028,0.50586,0.83255,0.86008,0.65195,0.7111,0.58251,0,0,0,0,0.78447,0,0.20237,1.18475,0.85852,0.00099448,0.00099448,0.00099448
22,410.312,0.64568,0,0.00416,0.4711,0.83527,0.87527,0.66667,0.74666,0.60861,0,0,0,0,0.79128,0,0.12121,1.30084,0.85709,0.00102973,0.00102973,0.00102973
23,428.676,0.67469,0,0.00181,0.46972,0.82777,0.85832,0.72727,0.78103,0.63825,0,0,0,0,0.80386,0,0.0612,1.09842,0.86549,0.00106379,0.00106379,0.00106379
24,447.111,0.60648,0,0.00229,0.4637,0.81901,0.74649,0.75847,0.74993,0.62942,0,0,0,0,0.75496,0,0.03372,1.07049,0.84907,0.00109667,0.00109667,0.00109667
25,465.578,0.60661,0,0.0016,0.45558,0.81135,0.61939,0.73974,0.5537,0.42668,0,0,0,0,0.75402,0,0.03279,1.21663,0.82047,0.00112835,0.00112835,0.00112835
26,484,0.63754,0,0.0024,0.44405,0.81533,0.75977,0.89394,0.79783,0.63468,0,0,0,0,0.63606,0,0.01852,0.80671,0.80763,0.00115885,0.00115885,0.00115885
27,502.429,0.63231,0,0.00225,0.47177,0.8324,0.96181,0.90909,0.93335,0.78637,0,0,0,0,0.59669,0,0.01717,0.69338,0.80599,0.00118816,0.00118816,0.00118816
28,520.955,0.56736,0,0.00077,0.46264,0.80253,0.97876,0.89394,0.94275,0.78163,0,0,0,0,0.63681,0,0.00886,0.60203,0.81136,0.00121628,0.00121628,0.00121628
29,539.245,0.5908,0,0.00212,0.44344,0.82951,0.97876,0.89394,0.94275,0.78163,0,0,0,0,0.63681,0,0.00886,0.60203,0.81136,0.00124322,0.00124322,0.00124322
30,557.746,0.56536,0,0.00168,0.42258,0.80048,0.97514,0.89394,0.93174,0.78314,0,0,0,0,0.63584,0,0.00756,0.70706,0.83146,0.00126896,0.00126896,0.00126896
31,576.283,0.56973,0,0.00143,0.41738,0.80599,0.96607,0.86291,0.92466,0.79198,0,0,0,0,0.55728,0,0.00657,0.77061,0.80229,0.00129352,0.00129352,0.00129352
32,594.806,0.55346,0,0.00054,0.42881,0.79734,0.79289,0.87879,0.83492,0.69746,0,0,0,0,0.65335,0,0.00624,1.07459,0.7911,0.00131689,0.00131689,0.00131689
33,612.962,0.6267,0,0.0014,0.43202,0.80921,0.79289,0.87879,0.83492,0.69746,0,0,0,0,0.65335,0,0.00624,1.07459,0.7911,0.00133907,0.00133907,0.00133907
34,631.356,0.6304,0,0.00185,0.45011,0.81651,0.6855,0.8587,0.72976,0.63216,0,0,0,0,0.55963,0,0.00368,1.13338,0.7884,0.0013466,0.0013466,0.0013466
35,649.933,0.61227,0,0.00115,0.42919,0.79806,0.90543,0.89394,0.92726,0.75156,0,0,0,0,0.68674,0,0.00298,0.86043,0.80057,0.0013268,0.0013268,0.0013268
36,668.588,0.5502,0,0.00078,0.3897,0.80039,0.80383,0.87879,0.85267,0.70572,0,0,0,0,0.6448,0,0.00292,0.94293,0.81353,0.001307,0.001307,0.001307
37,686.878,0.5812,0,0.00133,0.40517,0.80885,0.80383,0.87879,0.85267,0.70572,0,0,0,0,0.6448,0,0.00292,0.94293,0.81353,0.0012872,0.0012872,0.0012872
38,705.228,0.55186,0,0.00059,0.37445,0.80659,0.93416,0.87879,0.91504,0.77235,0,0,0,0,0.64876,0,0.00236,0.69699,0.82332,0.0012674,0.0012674,0.0012674
39,723.658,0.52644,0,0.00059,0.37621,0.80429,0.93379,0.87879,0.91748,0.78682,0,0,0,0,0.64331,0,0.0018,0.60115,0.82708,0.0012476,0.0012476,0.0012476
40,742.221,0.50482,0,0.0004,0.38399,0.80592,0.96478,0.87879,0.93593,0.82352,0,0,0,0,0.59445,0,0.00166,0.49557,0.82395,0.0012278,0.0012278,0.0012278
41,760.718,0.54257,0,0.00067,0.39249,0.80595,0.96478,0.87879,0.93593,0.82352,0,0,0,0,0.59445,0,0.00166,0.49557,0.82395,0.001208,0.001208,0.001208
42,779.216,0.51724,0,0.00048,0.37999,0.81072,0.96083,0.89394,0.94879,0.80673,0,0,0,0,0.63136,0,0.00155,0.47296,0.81742,0.0011882,0.0011882,0.0011882
43,797.618,0.50321,0,0.00085,0.3824,0.8146,0.97323,0.93939,0.9597,0.8511,0,0,0,0,0.51384,0,0.00086,0.42689,0.79055,0.0011684,0.0011684,0.0011684
44,816.67,0.53567,0,0.00083,0.38018,0.81877,0.96917,0.95272,0.97857,0.85847,0,0,0,0,0.53314,0,0.00096,0.4097,0.77511,0.0011486,0.0011486,0.0011486
45,835.008,0.54782,0,0.00042,0.37658,0.79646,0.96917,0.95272,0.97857,0.85847,0,0,0,0,0.53314,0,0.00096,0.4097,0.77511,0.0011288,0.0011288,0.0011288
46,853.558,0.49283,0,0.00043,0.37091,0.80368,0.98409,0.93705,0.98146,0.8561,0,0,0,0,0.53542,0,0.00293,0.43146,0.7727,0.001109,0.001109,0.001109
47,871.865,0.52356,0,0.00062,0.3724,0.81104,0.98409,0.93728,0.9666,0.86523,0,0,0,0,0.52542,0,0.00566,0.39138,0.76936,0.0010892,0.0010892,0.0010892
48,890.43,0.55726,0,0.0006,0.38325,0.81043,0.98058,0.92424,0.96484,0.86616,0,0,0,0,0.52845,0,0.00483,0.39864,0.77287,0.0010694,0.0010694,0.0010694
49,908.766,0.54364,0,0.0005,0.37591,0.80818,0.98058,0.92424,0.96484,0.86616,0,0,0,0,0.52845,0,0.00483,0.39864,0.77287,0.0010496,0.0010496,0.0010496
50,927.273,0.51525,0,0.00025,0.36808,0.7967,0.96382,0.95455,0.97189,0.88092,0,0,0,0,0.48475,0,0.00325,0.37863,0.76848,0.0010298,0.0010298,0.0010298
51,945.721,0.53931,0,0.00082,0.36142,0.80335,0.96648,0.95455,0.97402,0.87044,0,0,0,0,0.48681,0,0.00335,0.38181,0.76932,0.00101,0.00101,0.00101
52,964.219,0.52753,0,0.00046,0.34969,0.81693,0.96752,0.95455,0.97759,0.87966,0,0,0,0,0.46004,0,0.00289,0.38931,0.76686,0.0009902,0.0009902,0.0009902
53,982.387,0.49995,0,0.00047,0.36337,0.794,0.96752,0.95455,0.97759,0.87966,0,0,0,0,0.46004,0,0.00289,0.38931,0.76686,0.0009704,0.0009704,0.0009704
54,1000.78,0.48451,0,0.00042,0.34495,0.80816,0.96488,0.9697,0.98171,0.87674,0,0,0,0,0.45837,0,0.00131,0.36128,0.7681,0.0009506,0.0009506,0.0009506
55,1019.33,0.50593,0,0.00032,0.36406,0.78941,0.96951,0.9697,0.98132,0.87303,0,0,0,0,0.48534,0,0.00095,0.35026,0.77358,0.0009308,0.0009308,0.0009308
56,1037.87,0.49552,0,0.00023,0.34273,0.78752,0.9677,0.9697,0.98131,0.87686,0,0,0,0,0.45917,0,0.00092,0.32553,0.77313,0.000911,0.000911,0.000911
57,1056.04,0.50181,0,0.0004,0.34984,0.801,0.9677,0.9697,0.98131,0.87686,0,0,0,0,0.45917,0,0.00092,0.32553,0.77313,0.0008912,0.0008912,0.0008912
