epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0393,2.6794,0,0.55109,4.06363,1.85682,0.01762,0.12121,0.01634,0.00436,0,0,0,0,3.34229,0,0.66539,3.95766,1.95318,4e-05,4e-05,4e-05
2,38.5241,1.84423,0,0.49987,2.30083,1.41254,0.10707,0.31818,0.06115,0.02001,0,0,0,0,2.42988,0,0.66013,2.94589,1.48723,9.89e-05,9.89e-05,9.89e-05
3,56.9721,1.13557,0,0.34027,1.20547,1.0171,0.29232,0.24242,0.23298,0.12648,0,0,0,0,1.5775,0,0.6448,2.78725,1.1632,0.00015648,0.00015648,0.00015648
4,75.2622,0.88223,0,0.14041,0.77239,0.89238,0.30119,0.34848,0.31112,0.2142,0,0,0,0,1.225,0,0.61275,2.67842,1.033,0.00021274,0.00021274,0.00021274
5,92.1224,0.74868,0,0.04647,0.6422,0.84425,0.44883,0.43939,0.38105,0.2802,0,0,0,0,1.06039,0,0.53598,2.81012,0.97268,0.00026768,0.00026768,0.00026768
6,110.361,0.71306,0,0.02814,0.56732,0.8481,0.78836,0.57576,0.66298,0.51349,0,0,0,0,0.87662,0,0.47645,1.38947,0.92308,0.0003213,0.0003213,0.0003213
7,128.76,0.73545,0,0.02094,0.54475,0.83901,0.8319,0.80303,0.83181,0.66874,0,0,0,0,0.77969,0,0.3305,1.54394,0.84341,0.0003736,0.0003736,0.0003736
8,146.854,0.74665,0,0.01485,0.59773,0.82869,0.23833,0.84848,0.28708,0.23253,0,0,0,0,0.73801,0,0.24409,4.59272,0.8343,0.00042458,0.00042458,0.00042458
9,165.416,0.69796,0,0.01167,0.54938,0.83951,0.36847,0.89394,0.82036,0.65964,0,0,0,0,0.79718,0,0.17048,3.17512,0.83687,0.00047424,0.00047424,0.00047424
10,183.833,0.67898,0,0.00867,0.53077,0.82101,0.4599,0.92424,0.88094,0.71904,0,0,0,0,0.74581,0,0.14047,2.72389,0.84604,0.00052258,0.00052258,0.00052258
11,202.541,0.67385,0,0.00468,0.52704,0.83717,0.29608,0.93939,0.59453,0.47207,0,0,0,0,0.84138,0,0.09915,3.98293,0.88186,0.0005696,0.0005696,0.0005696
12,221.001,0.72631,0,0.00559,0.5397,0.83155,0.44648,0.90909,0.72968,0.56427,0,0,0,0,0.87552,0,0.08754,2.77946,0.86848,0.0006153,0.0006153,0.0006153
13,239.832,0.69272,0,0.00578,0.5222,0.82517,0.51385,0.94491,0.71606,0.56181,0,0,0,0,0.76266,0,0.06262,2.82067,0.83322,0.00065968,0.00065968,0.00065968
14,258.156,0.66119,0,0.00597,0.50285,0.83341,0.38492,0.93939,0.45342,0.3537,0,0,0,0,0.81275,0,0.06246,2.78125,0.83854,0.00070274,0.00070274,0.00070274
15,276.723,0.74151,0,0.00294,0.51865,0.8335,0.3072,0.86364,0.36072,0.28334,0,0,0,0,0.70376,0,0.05293,4.32533,0.80937,0.00074448,0.00074448,0.00074448
16,295.17,0.69054,0,0.0026,0.51181,0.81191,0.15043,0.86364,0.16852,0.12924,0,0,0,0,0.78948,0,0.04571,9.19765,0.82802,0.0007849,0.0007849,0.0007849
17,313.784,0.61374,0,0.0022,0.46585,0.82443,0.05846,0.75758,0.05204,0.03723,0,0,0,0,0.82185,0,0.05618,57.0109,0.8895,0.000824,0.000824,0.000824
18,332.286,0.69081,0,0.00238,0.4894,0.82863,0.07767,0.75758,0.06666,0.05063,0,0,0,0,0.80468,0,0.05805,44.0778,0.88112,0.00086178,0.00086178,0.00086178
19,350.748,0.59102,0,0.00311,0.47831,0.83216,0.10676,0.74242,0.09553,0.07147,0,0,0,0,0.84677,0,0.05299,16.4985,0.86469,0.00089824,0.00089824,0.00089824
20,369.083,0.71278,0,0.00339,0.47577,0.8293,0.23884,0.74242,0.24116,0.19068,0,0,0,0,0.75078,0,0.05309,6.5045,0.82718,0.00093338,0.00093338,0.00093338
21,387.465,0.63609,0,0.0018,0.48017,0.82132,0.528,0.69697,0.5747,0.4824,0,0,0,0,0.66211,0,0.05478,2.43308,0.80587,0.0009672,0.0009672,0.0009672
22,405.683,0.69195,0,0.00338,0.47861,0.83116,0.22285,0.59091,0.19855,0.16288,0,0,0,0,0.73137,0,0.05746,5.16854,0.83202,0.0009997,0.0009997,0.0009997
23,424.136,0.63497,0,0.00183,0.48115,0.82023,0.2598,0.68182,0.22199,0.17513,0,0,0,0,0.70817,0,0.05633,9.35608,0.81563,0.00103088,0.00103088,0.00103088
24,442.454,0.61859,0,0.0024,0.46964,0.81813,0.25502,0.77273,0.21993,0.17595,0,0,0,0,0.71302,0,0.05456,5.00223,0.81608,0.00106074,0.00106074,0.00106074
25,460.922,0.66703,0,0.00188,0.44514,0.81172,0.20817,0.81818,0.20495,0.17027,0,0,0,0,0.57175,0,0.03141,3.52405,0.79158,0.00108928,0.00108928,0.00108928
26,479.591,0.6088,0,0.00299,0.43444,0.81855,0.24591,0.87879,0.24785,0.2069,0,0,0,0,0.57431,0,0.01554,4.35316,0.78845,0.0011165,0.0011165,0.0011165
27,497.957,0.62244,0,0.00195,0.43834,0.83461,0.86559,0.93939,0.93805,0.79405,0,0,0,0,0.60273,0,0.00609,0.68945,0.79207,0.0011424,0.0011424,0.0011424
28,516.239,0.59169,0,0.00127,0.47762,0.81367,0.89855,0.93934,0.95878,0.82899,0,0,0,0,0.54189,0,0.00456,0.61585,0.78395,0.00116698,0.00116698,0.00116698
29,534.691,0.5849,0,0.00128,0.44288,0.83171,0.89855,0.93934,0.95878,0.82899,0,0,0,0,0.54189,0,0.00456,0.61585,0.78395,0.00119024,0.00119024,0.00119024
