epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6468,2.6794,0,0.55109,4.06363,1.85682,0.01762,0.12121,0.01634,0.00436,0,0,0,0,3.34229,0,0.66539,3.95766,1.95318,4e-05,4e-05,4e-05
2,38.4246,1.87945,0,0.50536,2.33079,1.43353,0.09109,0.22473,0.04927,0.01639,0,0,0,0,2.54901,0,0.66135,2.84561,1.55268,8.02e-05,8.02e-05,8.02e-05
3,57.1989,1.21452,0,0.38716,1.3267,1.05999,0.22126,0.30303,0.19108,0.09616,0,0,0,0,1.84725,0,0.65112,2.51179,1.24775,9.664e-05,9.664e-05,9.664e-05
4,75.7234,0.92075,0,0.23346,0.83011,0.92411,0.27777,0.43939,0.30193,0.17723,0,0,0,0,1.41757,0,0.63824,2.4688,1.08424,8.932e-05,8.932e-05,8.932e-05
5,94.1235,0.76807,0,0.13058,0.63125,0.86726,0.53301,0.57576,0.51722,0.33762,0,0,0,0,1.17557,0,0.61667,1.57167,0.98628,5.824e-05,5.824e-05,5.824e-05
