epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4258,2.6794,0,0.55109,4.06363,1.85682,0.01762,0.12121,0.01634,0.00436,0,0,0,0,3.34229,0,0.66539,3.95766,1.95318,4e-05,4e-05,4e-05
2,37.9055,1.84479,0,0.49987,2.30127,1.4129,0.10327,0.30303,0.06066,0.01995,0,0,0,0,2.43315,0,0.6602,2.94562,1.48857,9.84769e-05,9.84769e-05,9.84769e-05
3,56.2325,1.13746,0,0.34175,1.21056,1.01897,0.26728,0.25758,0.2182,0.12383,0,0,0,0,1.59774,0,0.64593,2.89145,1.17585,0.000155126,0.000155126,0.000155126
4,74.6467,0.89188,0,0.14278,0.78138,0.89394,0.15341,0.26361,0.1804,0.12635,0,0,0,0,1.37123,0,0.62439,3.95855,1.09294,0.000209948,0.000209948,0.000209948
5,92.7585,0.74321,0,0.0488,0.64494,0.84305,0.5621,0.45455,0.47537,0.34487,0,0,0,0,1.06351,0,0.55214,1.70836,0.94593,0.000262942,0.000262942,0.000262942
6,111.112,0.70207,0,0.02929,0.56036,0.84806,0.66023,0.48485,0.52784,0.4032,0,0,0,0,0.85114,0,0.50244,2.13507,0.90502,0.000314108,0.000314108,0.000314108
7,129.651,0.73547,0,0.01977,0.5384,0.8366,0.67254,0.69697,0.73631,0.59108,0,0,0,0,0.80282,0,0.35203,2.41173,0.86591,0.000363446,0.000363446,0.000363446
8,147.823,0.72149,0,0.01362,0.53664,0.82537,0.42951,0.80303,0.74595,0.61433,0,0,0,0,0.76228,0,0.26628,5.02105,0.84492,0.000410957,0.000410957,0.000410957
9,166.125,0.68022,0,0.01027,0.50811,0.8316,0.6709,0.89394,0.8141,0.63863,0,0,0,0,0.78913,0,0.18197,1.59308,0.83252,0.00045664,0.00045664,0.00045664
10,184.565,0.64968,0,0.00903,0.51452,0.81774,0.41674,0.90909,0.48484,0.3869,0,0,0,0,0.72077,0,0.14684,2.66884,0.82304,0.000500495,0.000500495,0.000500495
11,202.664,0.68328,0,0.00569,0.5468,0.83201,0.52611,0.90909,0.55966,0.43466,0,0,0,0,0.81486,0,0.10588,2.54737,0.85962,0.000542523,0.000542523,0.000542523
12,220.866,0.71112,0,0.00605,0.52146,0.82295,0.6212,0.89394,0.65728,0.50284,0,0,0,0,0.89701,0,0.09357,2.02389,0.85866,0.000582723,0.000582723,0.000582723
13,239.51,0.67933,0,0.00527,0.5027,0.82494,0.82938,0.92424,0.92505,0.7055,0,0,0,0,0.81127,0,0.06422,1.13414,0.84646,0.000621095,0.000621095,0.000621095
14,257.497,0.69589,0,0.00769,0.51725,0.83324,0.83859,0.89394,0.92108,0.70906,0,0,0,0,0.82025,0,0.0601,1.10644,0.84946,0.00065764,0.00065764,0.00065764
15,275.827,0.7169,0,0.00301,0.52176,0.8291,0.85722,0.86364,0.91503,0.75131,0,0,0,0,0.70374,0,0.04941,0.96106,0.82476,0.000692357,0.000692357,0.000692357
16,294.209,0.67112,0,0.00271,0.49635,0.81204,0.92828,0.92424,0.94517,0.78873,0,0,0,0,0.65111,0,0.02899,0.92905,0.80294,0.000725246,0.000725246,0.000725246
17,312.444,0.63206,0,0.00261,0.47928,0.82461,0.8944,0.89836,0.9519,0.74869,0,0,0,0,0.8236,0,0.02077,1.09647,0.84465,0.000756308,0.000756308,0.000756308
18,331.378,0.65643,0,0.00375,0.49184,0.82185,0.94266,0.89394,0.96227,0.77503,0,0,0,0,0.73969,0,0.02106,0.8785,0.82721,0.000785542,0.000785542,0.000785542
19,349.549,0.57627,0,0.00263,0.45921,0.82456,0.96751,0.90258,0.97927,0.80681,0,0,0,0,0.63486,0,0.01961,0.7344,0.79707,0.000812948,0.000812948,0.000812948
20,367.83,0.64989,0,0.00285,0.45168,0.82559,0.94269,0.90909,0.9634,0.79466,0,0,0,0,0.68358,0,0.02204,0.72845,0.80219,0.000838526,0.000838526,0.000838526
21,386.104,0.59213,0,0.00213,0.44451,0.81716,0.93714,0.90358,0.96366,0.81017,0,0,0,0,0.63927,0,0.02522,0.64449,0.80054,0.000862277,0.000862277,0.000862277
22,404.389,0.63205,0,0.00367,0.45421,0.82954,0.93186,0.82883,0.92906,0.76452,0,0,0,0,0.73908,0,0.02699,0.67909,0.81153,0.0008842,0.0008842,0.0008842
23,422.616,0.65598,0,0.00141,0.46092,0.82455,0.9198,0.93939,0.95401,0.79335,0,0,0,0,0.66038,0,0.02646,0.53801,0.79854,0.000904295,0.000904295,0.000904295
24,440.905,0.60027,0,0.00143,0.44762,0.81838,0.9841,0.93771,0.9653,0.811,0,0,0,0,0.63812,0,0.02282,0.50739,0.79181,0.000922563,0.000922563,0.000922563
25,459.227,0.57773,0,0.00128,0.42592,0.80592,0.97588,0.93939,0.96208,0.81888,0,0,0,0,0.59174,0,0.0196,0.46492,0.78419,0.000939003,0.000939003,0.000939003
26,477.571,0.56748,0,0.00185,0.40292,0.80914,0.95795,0.93939,0.9681,0.82152,0,0,0,0,0.61299,0,0.01242,0.44459,0.78661,0.000953615,0.000953615,0.000953615
27,495.927,0.5675,0,0.00211,0.41317,0.82094,0.97427,0.93939,0.97224,0.83913,0,0,0,0,0.55406,0,0.00838,0.44576,0.7851,0.0009664,0.0009664,0.0009664
28,514.183,0.56563,0,0.00111,0.46713,0.8022,0.95093,0.92424,0.96262,0.81604,0,0,0,0,0.561,0,0.00748,0.47671,0.78782,0.000977357,0.000977357,0.000977357
29,532.233,0.57278,0,0.00182,0.42484,0.82053,0.95093,0.92424,0.96262,0.81604,0,0,0,0,0.561,0,0.00748,0.47671,0.78782,0.000986486,0.000986486,0.000986486
30,550.466,0.55415,0,0.00146,0.40017,0.79848,0.96811,0.92008,0.96404,0.77596,0,0,0,0,0.64616,0,0.00932,0.50451,0.79357,0.000993788,0.000993788,0.000993788
31,568.946,0.57276,0,0.00102,0.41403,0.80503,0.98377,0.91823,0.96223,0.82567,0,0,0,0,0.56028,0,0.00785,0.49626,0.7846,0.000999262,0.000999262,0.000999262
32,587.527,0.59793,0,0.0006,0.44075,0.79843,0.9684,0.92882,0.96753,0.83301,0,0,0,0,0.55869,0,0.00766,0.46859,0.78151,0.00100291,0.00100291,0.00100291
33,605.745,0.59432,0,0.00111,0.4268,0.80708,0.9684,0.92882,0.96753,0.83301,0,0,0,0,0.55869,0,0.00766,0.46859,0.78151,0.00100473,0.00100473,0.00100473
34,624.442,0.57064,0,0.00208,0.44108,0.81211,0.9612,0.90909,0.95954,0.82678,0,0,0,0,0.58499,0,0.00693,0.46025,0.78693,0.000994769,0.000994769,0.000994769
35,642.881,0.55745,0,0.00106,0.43062,0.78755,0.96023,0.90909,0.95675,0.80185,0,0,0,0,0.57799,0,0.00519,0.50669,0.78742,0.000964308,0.000964308,0.000964308
36,661.407,0.56088,0,0.00075,0.38829,0.80174,0.96525,0.90909,0.95594,0.79994,0,0,0,0,0.57996,0,0.00496,0.52894,0.7882,0.000933846,0.000933846,0.000933846
37,679.528,0.56054,0,0.00156,0.40076,0.80548,0.96525,0.90909,0.95594,0.79994,0,0,0,0,0.57996,0,0.00496,0.52894,0.7882,0.000903385,0.000903385,0.000903385
38,697.954,0.55452,0,0.00061,0.37352,0.80325,0.96131,0.89394,0.9607,0.81738,0,0,0,0,0.61347,0,0.00591,0.48147,0.78689,0.000872923,0.000872923,0.000872923
39,716.237,0.52992,0,0.00067,0.36692,0.8014,0.95359,0.93393,0.95604,0.85216,0,0,0,0,0.51402,0,0.00571,0.45472,0.77266,0.000842462,0.000842462,0.000842462
40,734.763,0.49612,0,0.00041,0.36916,0.7992,0.96923,0.95442,0.96833,0.87788,0,0,0,0,0.4559,0,0.00383,0.41473,0.76761,0.000812,0.000812,0.000812
41,752.939,0.52649,0,0.00089,0.38181,0.79877,0.96923,0.95442,0.96833,0.87788,0,0,0,0,0.4559,0,0.00383,0.41473,0.76761,0.000781538,0.000781538,0.000781538
42,771.469,0.51892,0,0.0006,0.37445,0.80727,0.96065,0.93939,0.97387,0.85733,0,0,0,0,0.55217,0,0.00259,0.4328,0.7771,0.000751077,0.000751077,0.000751077
43,789.711,0.50032,0,0.00058,0.37732,0.80672,0.9481,0.95455,0.9784,0.8599,0,0,0,0,0.5352,0,0.00275,0.41519,0.77446,0.000720615,0.000720615,0.000720615
