epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7124,2.6794,0,0.55109,4.06363,1.85682,0.01762,0.12121,0.01634,0.00436,0,0,0,0,3.34229,0,0.66539,3.95766,1.95318,4e-05,4e-05,4e-05
2,38.4247,1.8446,0,0.49998,2.30115,1.41279,0.10714,0.31818,0.06087,0.02009,0,0,0,0,2.43137,0,0.66018,2.94556,1.48797,9.85857e-05,9.85857e-05,9.85857e-05
3,57.0903,1.13591,0,0.34124,1.20876,1.01839,0.28265,0.25758,0.22088,0.12418,0,0,0,0,1.59389,0,0.64567,2.91174,1.17266,0.000155474,0.000155474,0.000155474
4,75.4516,0.88756,0,0.14151,0.77529,0.8941,0.30635,0.30303,0.27699,0.19049,0,0,0,0,1.27245,0,0.6148,2.97207,1.03996,0.000210666,0.000210666,0.000210666
5,93.8164,0.7453,0,0.04839,0.63613,0.84252,0.54505,0.47199,0.52822,0.37832,0,0,0,0,1.09059,0,0.54102,1.71424,0.96392,0.00026416,0.00026416,0.00026416
6,112.121,0.7119,0,0.03043,0.56192,0.8472,0.73856,0.5565,0.62054,0.49328,0,0,0,0,0.8216,0,0.4678,1.6852,0.90616,0.000315957,0.000315957,0.000315957
7,130.656,0.74597,0,0.01996,0.54242,0.8373,0.6513,0.77273,0.80726,0.63834,0,0,0,0,0.83861,0,0.29422,2.46259,0.87659,0.000366057,0.000366057,0.000366057
8,149.059,0.75626,0,0.01437,0.54661,0.82929,0.57296,0.83333,0.85369,0.68809,0,0,0,0,0.7935,0,0.23102,2.94823,0.85453,0.00041446,0.00041446,0.00041446
9,167.571,0.69708,0,0.01043,0.53641,0.8362,0.52336,0.89394,0.73568,0.57821,0,0,0,0,0.7852,0,0.17916,2.40185,0.84645,0.000461166,0.000461166,0.000461166
10,185.972,0.67647,0,0.0078,0.53237,0.82294,0.61126,0.90909,0.8852,0.7256,0,0,0,0,0.81075,0,0.14974,2.41586,0.85916,0.000506174,0.000506174,0.000506174
11,204.566,0.67069,0,0.0055,0.54415,0.83785,0.81422,0.89394,0.89422,0.72503,0,0,0,0,0.74522,0,0.10846,1.33375,0.86048,0.000549486,0.000549486,0.000549486
12,222.838,0.72208,0,0.00623,0.54349,0.82985,0.88645,0.89394,0.90734,0.67946,0,0,0,0,0.91987,0,0.09688,1.12298,0.88218,0.0005911,0.0005911,0.0005911
13,241.272,0.69099,0,0.0049,0.5294,0.8217,0.78734,0.89394,0.90584,0.72382,0,0,0,0,0.75986,0,0.0599,1.25899,0.83111,0.000631017,0.000631017,0.000631017
14,259.668,0.72253,0,0.00608,0.52172,0.83563,0.84011,0.90909,0.91046,0.72923,0,0,0,0,0.80408,0,0.05527,1.13806,0.83975,0.000669237,0.000669237,0.000669237
